year,avg_temp_c
1902,18.66
1903,16.82
1904,18.26
1905,17.23
1906,17.53
1907,18.85
1908,18.66
1909,19.21
1910,18.87
1911,19.8
1912,17.43
1913,18.06
1914,18.21
1914,18.21
1915,18.3
1915,18.3
1916,18.72
1917,18.04
1918,18.72
1919,17.86
1920,18.01
1921,19.96
1922,19.16
1923,18.94
1924,18.26
1925,19.72
1926,18.42
1927,19.34
1928,18.51
1929,18.09
1930,18.4
1931,18.92
1932,18.33
1933,19.68
1934,19.5
1935,18.27
1936,18.57
1937,18.22
1938,19.55
1939,19.55
1940,17.56
1941,18.85
1942,18.39
1943,18.79
1944,18.94
1945,18.6
1947,19.52
1948,18.45
1949,18.77
1950,18.58
1951,18.66
1952,19.22
1953,20.07
1954,19.16
1955,19.74
1956,18.18
1957,17.86
1958,18.33
1959,18.22
1960,18.02
1961,18.79
1962,19.24
1963,18.4
1964,18.94
1965,17.94
1966,18.81
1967,17.7
1968,18.57
1969,18.3
1970,18.75
1971,18.92
1972,18.38
1973,18.83
1974,18.68
1975,17.96
1976,18.96
1977,18
1978,17.69
1979,19.33
1980,18.58
1981,18.52
1982,17.36
1983,18.69
1984,18.35
1985,18.96
1986,18.57
1987,18.7
1988,18.02
1989,19.35
1990,18.91
1991,18.84
1992,18.55
1993,18.93
1994,18.89
1995,18.74
1996,18.04
1997,20.14
1998,20.32
1999,19.62
2000,18.66
2001,18.5
2002,18.9
2003,19.14
2004,19.94
2005,20.68
2006,19.72
2007,20.38
2008,19.14
2009,19.44
2010,20.29
2011,20.72
2012,18.99
2013,18.98
2014,19.53
2015,20.65
2016,21.03
2017,19.53
2018,19.11
2019,19.46
2020,19.71
2021,20.09
2022,20.96
2023,20.98
2024,20.27
2025,20.77
