Block,Tank,Size,Fish,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,1,Medium,Predator-Free,4,27,17,28,16,19,7,10,2,12,7,7,10,5
1,2,Large,Predator,0,0,0,0,0,4,7,0,0,0,0,1,2,0
1,3,Small,Predator-Free,6,16,8,5,3,8,3,3,1,7,3,1,0,0
1,4,Medium,Predator,2,2,26,17,9,16,2,3,1,17,12,1,3,0
1,5,Large,Predator-Free,0,2,4,6,5,8,3,0,0,0,0,2,1,2
1,6,Small,Predator,0,3,3,9,4,1,1,1,0,0,0,0,0,0
2,7,Large,Predator-Free,6,8,6,6,6,3,3,0,8,2,3,2,1,0
2,8,Small,Predator,5,15,5,16,6,39,0,0,0,0,0,0,0,0
2,9,Medium,Predator-Free,35,12,12,16,2,3,3,1,0,0,0,0,0,0
2,10,Large,Predator,0,0,24,0,0,0,0,0,0,1,0,1,0,0
2,11,Small,Predator-Free,14,26,8,9,7,3,6,1,5,9,0,5,6,1
2,12,Medium,Predator,4,12,0,20,11,7,4,0,0,3,1,5,1,0
3,13,Small,Predator,1,1,6,8,3,10,1,9,0,0,4,4,10,1
3,14,Medium,Predator-Free,3,3,5,3,0,3,0,4,0,12,11,2,4,0
3,15,Large,Predator,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3,16,Small,Predator-Free,0,5,2,0,1,4,1,1,3,6,5,11,0,0
3,17,Medium,Predator,0,0,0,1,1,0,0,0,0,0,0,0,25,0
3,18,Large,Predator-Free,0,0,1,4,12,6,3,0,0,0,0,0,0,0
4,19,Medium,Predator,0,0,0,4,2,3,1,0,0,0,0,0,0,0
4,20,Small,Predator-Free,3,17,10,11,9,19,3,0,9,12,7,5,8,0
4,21,Large,Predator,0,0,0,0,2,9,2,0,6,4,3,1,0,1
4,22,Medium,Predator-Free,2,7,12,14,10,6,3,4,11,17,21,3,7,0
4,23,Small,Predator,0,0,2,0,5,3,3,1,0,0,1,2,0,0
4,24,Large,Predator-Free,0,5,12,23,28,26,10,12,90,124,115,73,38,7
5,25,Large,Predator-Free,0,0,1,0,0,0,0,0,5,7,10,4,3,0
5,26,Medium,Predator,0,0,0,0,0,0,2,0,0,0,0,0,0,0
5,27,Small,Predator-Free,0,1,5,10,5,6,2,3,0,0,3,2,1,0
5,28,Large,Predator,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,29,Medium,Predator-Free,0,0,1,0,2,0,0,0,0,0,0,0,0,0
5,30,Small,Predator,0,0,0,3,15,3,2,0,0,0,0,0,0,0
6,31,Medium,Predator,0,3,6,6,4,26,0,0,0,0,0,4,4,2
6,32,Large,Predator-Free,0,0,0,1,8,1,1,0,0,0,0,0,2,1
6,33,Small,Predator,0,0,1,6,7,1,1,0,0,0,0,0,4,0
6,34,Medium,Predator-Free,10,91,32,50,16,51,6,15,13,16,14,8,9,1
6,35,Large,Predator,3,0,0,0,0,1,0,0,0,0,0,2,0,0
6,36,Small,Predator-Free,0,17,16,11,7,10,2,0,5,8,32,4,8,5
