Block,Pool,Light,Nutrients,lux,Cumulative,6/18/2021,6/19/2021,6/20/2021,6/21/2021,6/22/2021,6/23/2021,6/24/2021,6/25/2021
1,1,Unlit,Ambient,0.1,24,4,0,7,5,2,1,5,7
1,2,Unlit,High,9.41E-02,175,7,21,36,25,19,18,49,25
1,3,Lit,High,10.8,149,5,8,46,24,22,2,42,38
1,4,Lit,Ambient,9.98,33,0,9,8,2,6,3,5,8
2,5,Lit,High,10.12,157,10,20,47,35,7,5,33,25
2,6,Unlit,Ambient,1.97E-01,20,0,0,3,3,2,1,11,6
2,7,Unlit,High,0.28,152,19,10,26,32,13,23,29,27
2,8,Lit,Ambient,1.23E+01,31,0,12,4,7,2,1,5,11
3,9,Lit,High,1.36E+01,108,2,15,17,31,15,3,25,19
3,10,Unlit,High,1.85E-01,215,0,10,0,64,11,19,111,41
3,11,Lit,Ambient,5.3,22,1,1,2,3,0,7,8,12
3,12,Unlit,Ambient,1.38E-01,15,2,7,0,2,1,1,2,3
4,13,Unlit,Ambient,1.67E-01,126,2,5,48,29,7,5,30,26
4,14,Lit,Ambient,9.07,22,1,10,2,0,5,1,3,2
4,15,Unlit,High,0.19,188,2,5,118,11,3,4,45,17
4,16,Lit,High,6.45,136,1,7,52,4,19,8,45,27
5,17,Unlit,High,1.91E+00,151,12,19,44,23,14,5,34,25
5,18,Lit,High,1.02E+01,202,2,15,112,44,4,2,23,40
5,19,Lit,Ambient,1.29E+01,91,3,9,20,15,24,5,15,10
5,20,Unlit,Ambient,9.79E-01,19,1,1,4,3,2,1,7,6
