site,region,abundance,preydensity,y,x
B1,California,597.7540512,16.08705157,38.18365442,-121.3621659
B2,California,981.3297374,15.88566582,34.97293666,-126.1671622
B3,California,833.6809913,12.17713446,42.62663273,-119.2788114
B4,California,841.7027904,17.72745578,42.74247368,-120.7803475
B5,California,899.0294047,21.38252057,42.58671402,-125.4537837
B6,California,998.6109983,15.12850432,39.34397975,-126.9658334
B7,California,1020.781196,6.367431572,38.39205581,-122.7491338
B8,California,850.8034384,12.90791076,37.26036542,-125.2215764
B9,Alaska,1607.862863,39.54396471,51.042007,-162.5297605
B10,Alaska,1930.95445,30.55198557,51.52418941,-163.0976197
B11,Alaska,2013.150373,22.09241649,51.19164274,-167.9051225
B12,Alaska,1887.100845,37.48976329,56.28616299,-164.7106201
B13,Alaska,1259.733128,54.56698643,54.2965752,-169.2650335
B14,Alaska,1858.831748,42.31484477,49.42189938,-169.5177347
B15,Alaska,1532.642089,43.22497947,52.62330752,-171.6948658
B16,Alaska,1394.643244,63.54418946,53.40933724,-177.1382927
B17,Kamchatka,1360.854848,62.27738608,49.91258831,150.7543777
B18,Kamchatka,1745.534825,56.00875797,49.98182366,149.5338863
B19,Kamchatka,1889.588297,41.61698669,48.31763348,157.0704794
B20,Kamchatka,1209.605197,58.75522477,61.43125808,170.114975
B21,Kamchatka,2044.747793,51.58248261,61.86275337,165.761319
B22,Kamchatka,1535.426904,43.70272743,56.45850657,163.7458211
B23,Kamchatka,1638.070431,34.53958018,54.42135903,159.1785678
B24,Kamchatka,1765.811202,49.7803628,46.00351693,150.8103687
B25,Japan,317.2799018,27.81301904,30.4122496,138.8041943
B26,Japan,407.8553597,15.86640491,36.06151985,136.8154495
B27,Japan,371.8126171,21.50788824,27.91692616,127.9721226
B28,Japan,311.0668,13.41207319,33.56565885,127.137664
B29,Japan,241.9144934,25.82829137,29.66420488,131.865527
B30,Japan,239.5122722,25.02208291,32.14966566,133.4444751
B31,Japan,375.1116986,21.01014841,26.80034187,130.4018673
B32,Japan,394.0178463,17.06030482,23.29849594,131.5731091
B33,British Columbia,702.5667129,55.96176394,54.78667826,-130.3801571
B34,British Columbia,1221.155383,35.6749363,59.67002199,-131.3748771
B35,British Columbia,876.0646748,43.14770913,54.82119003,-129.8156466
B36,British Columbia,839.8136525,23.09302062,55.83303559,-134.2557815
B37,British Columbia,1198.163723,47.50680935,51.67097659,-134.4370007
B38,British Columbia,775.8573728,36.67597105,55.35307812,-133.9126957
B39,British Columbia,731.7681398,56.22650207,52.28793354,-128.1182177
B40,British Columbia,570.8810267,38.46165783,54.10623743,-128.7728667
B41,California,665.2334553,18.45309263,36.20117204,-124.0286782
B42,California,954.0019802,32.29924182,37.32264521,-121.723763
B43,California,769.9159478,12.84204674,39.98043607,-124.9257914
B44,California,897.7533699,20.68446134,37.76137473,-117.1983795
B45,California,834.9110449,13.43599885,39.53238168,-119.6903621
B46,California,973.5381365,23.85995114,41.65817159,-124.158502
B47,California,862.6601218,18.62313887,36.54728565,-121.9791552
B48,California,925.696452,23.64754016,40.47655245,-123.1196422
B49,Alaska,1689.442852,25.18587153,50.79747723,-163.0314373
B50,Alaska,1878.450021,28.30955828,56.56842345,-161.0665093
B51,Alaska,1866.445398,31.74823987,57.5404297,-166.108962
B52,Alaska,1851.981432,28.79942219,54.98865204,-166.8658938
B53,Alaska,1228.273795,61.65051327,54.45675508,-171.1212012
B54,Alaska,1782.503132,39.84487156,50.52758768,-171.3656064
B55,Alaska,1552.669956,29.63239793,52.02535635,-170.1579856
B56,Alaska,1405.546498,58.5707138,50.899301,-171.2174874
B57,Kamchatka,1319.641859,63.08158737,43.76145633,154.1092364
B58,Kamchatka,1879.768858,57.0953196,51.87098027,154.2926237
B59,Kamchatka,1805.211502,33.74648922,52.0637493,150.574114
B60,Kamchatka,1137.580548,57.89936503,56.39496342,169.3518989
B61,Kamchatka,2050.65231,51.88382705,57.63959631,167.3401813
B62,Kamchatka,1453.886324,42.39117904,51.09190376,163.5370231
B63,Kamchatka,1647.757036,33.66037814,48.64421365,152.5483914
B64,Kamchatka,1704.308138,55.4516974,51.55467237,154.2604096
B65,Japan,283.696294,19.06363137,28.68147825,141.6230632
B66,Japan,346.4179839,16.6236067,31.597825,142.370396
B67,Japan,343.841628,17.51254783,28.5887362,133.3210858
B68,Japan,298.8530423,20.20530012,29.20664261,131.6898251
B69,Japan,307.0969583,11.7165577,31.76737438,128.0792629
B70,Japan,242.950494,20.40042274,29.38216923,132.9443535
B71,Japan,322.7736488,28.18020974,26.23584921,132.1941352
B72,Japan,439.5820283,16.68594326,25.07558207,131.5856015
B73,British Columbia,719.5049579,50.41322721,60.0806926,-130.1966245
B74,British Columbia,1135.850855,41.74187617,54.98587496,-135.1029214
B75,British Columbia,910.915332,45.06897205,53.27427763,-135.8097404
B76,British Columbia,879.1153883,18.48462134,52.3430245,-130.7181813
B77,British Columbia,1211.207849,41.62653984,51.93127594,-132.604627
B78,British Columbia,679.7283158,41.33611092,54.62704205,-133.0383466
B79,British Columbia,863.5408976,41.38348903,53.01045432,-131.2774001
B80,British Columbia,670.455136,28.09107269,54.85607759,-128.393546
B81,California,620.0975498,20.29885343,32.51579369,-122.6688437
B82,California,852.9413746,19.63844021,38.77786134,-119.4153608
B83,California,872.021157,18.3957059,36.58750206,-122.8174229
B84,California,906.0759896,23.07713874,37.2240926,-122.7745569
B85,California,842.5324215,11.14407407,44.77377004,-121.5756729
B86,California,905.704915,11.14266701,38.40281585,-121.1923959
B87,California,1033.041475,24.11357461,42.6540714,-122.4695788
B88,California,864.675728,22.93408827,36.44244648,-124.021952
B89,Alaska,1607.249513,40.26917974,51.82472816,-160.596121
B90,Alaska,1837.431334,33.24314872,56.16382585,-163.2059569
B91,Alaska,1940.358175,31.83410522,56.62919561,-164.2039891
B92,Alaska,1839.68209,26.29450385,55.59569344,-170.4806454
B93,Alaska,1140.263088,55.27457668,53.28256764,-172.1892947
B94,Alaska,1816.99893,42.90408167,51.81219604,-174.4166247
B95,Alaska,1557.095959,33.28240437,55.13302263,-176.4019161
B96,Alaska,1501.247202,46.48355409,55.81651964,-175.8960044
B97,Kamchatka,1380.81051,65.42140842,46.46970497,153.3775637
B98,Kamchatka,1758.992222,58.20499668,45.61335118,153.8484977
B99,Kamchatka,1848.487108,27.83673226,47.96374129,155.4733845
B100,Kamchatka,1066.186607,55.35359161,60.42232557,167.9605559
B101,Kamchatka,2071.666494,44.2001536,55.42660044,164.658492
B102,Kamchatka,1505.703809,30.58152533,58.1848248,163.5309902
B103,Kamchatka,1713.627511,42.44708418,51.22856746,156.8451704
B104,Kamchatka,1774.725444,42.66889169,47.90285467,155.9557421
B105,Japan,364.6598912,35.72069846,34.09008062,138.9080085
B106,Japan,426.3391477,29.84945722,36.50071926,138.6099633
B107,Japan,279.7104655,17.57816321,31.0143144,128.2074569
B108,Japan,224.5040295,11.31182315,28.21378875,126.7166536
B109,Japan,388.2169285,15.1113752,31.52092086,133.6122963
B110,Japan,368.4515919,19.15452543,30.86416807,132.7272087
B111,Japan,240.5525962,16.49508008,25.972377,127.2144692
B112,Japan,261.1714368,17.38268114,23.70861714,130.2483381
B113,British Columbia,536.0279619,53.34572814,56.58244669,-137.3939792
B114,British Columbia,1237.286248,48.86045901,52.77268902,-131.6429453
B115,British Columbia,860.4709697,43.29797069,50.96545609,-136.4312963
B116,British Columbia,945.6043483,16.85043995,49.12392385,-131.2261792
B117,British Columbia,1166.317938,35.89767594,50.13086038,-127.7730591
B118,British Columbia,846.6407943,36.70882285,55.67699562,-129.6933354
B119,British Columbia,699.9268042,42.28951483,55.82699931,-128.4887063
B120,British Columbia,667.1030124,35.43245731,54.89142037,-129.022215
